t,theta
0.00,331
1.00,313
1.00,303
2.00,297
3.00,294
4.00,292
5.00,290
5.00,294
15.00,293
27.00,308
38.00,316
50.00,328
61.00,343
72.00,350
83.00,373
96.00,380
107.00,401
119.00,417
132.00,428
144.00,454
157.00,465
169.00,481
182.00,502
194.00,511
206.00,531
219.00,546
232.00,559
244.00,582
257.00,592
269.00,609
281.00,627
294.00,638
307.00,661
319.00,674
331.00,685
344.00,709
357.00,719
369.00,738
381.00,753
394.00,762
406.00,782
418.00,783
432.00,793
444.00,811
456.00,814
468.00,826
481.00,839
494.00,841
506.00,853
519.00,846
531.00,851
543.00,862
557.00,860
569.00,866
581.00,868
593.00,873
606.00,880
618.00,868
631.00,869
644.00,873
